BehaviorSpace results (NetLogo 5.0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessInvestor-12-2.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig-12-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2013 12:30:06:123 -0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26
decisionTimeHorizon,0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,
[reporter],mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras
[final],"170892,95",139,"155604,46",101,"139121,28",103,"143779,74",93,"126807,45",80,"119154,31",70,"114346,01",76,"115256,64",76,"110654,23",69,"109948,16",60,"113382,92",66,"112623,24",60,"105071,22",77,"110661,25",70,"112060,73",60,"101314,99",64,"111996,8",70,"102206,92",62,"84489,06",78,"96452,29",67,"114197,96",65,"101749,24",63,"75962,43",80,"83134,02",64,"92767,74",65,"98243,88",67
[min],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[max],"170892,95",139,"155604,46",101,"139121,28",103,"143779,74",93,"126807,45",80,"119154,31",70,"114346,01",76,"115256,64",76,"110654,23",69,"109948,16",60,"113382,92",66,"112623,24",60,"105071,22",77,"110661,25",70,"112060,73",60,"101314,99",64,"111996,8",70,"102206,92",62,"84489,06",78,"96452,29",67,"114197,96",65,"101749,24",63,"75962,43",80,"83134,02",64,"92767,74",65,"98243,88",67
[mean],"84986,3568","72,88","79587,2284","57,12","73818,4","54,32","75899,8388","48,52","68335,4748","45,68","65504,1136","38,76","61830,3608","40,8","62616,5936","42,68","59907,1676","39,68","60144,342","33,84","60928,93","36,04","61604,716","30,32","56959,7964","42,56","58944,062","38,72","60538,86","32,36","54827,0316","35,4","59552,3124","33,96","55065,8056","33,36","46332,9928","49,16","52286,3576","32,36","59298,1616","38,08","55192,0052","31,04","41794,9944","45,72","44918,1424","32,36","49575,19","37,92","51346,5852","41,72"
[steps],24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras,mean [w] of turtles,cantidadQuiebras
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"6422,86",11,"6396,89",7,"6224,23",10,"7150,4",2,"6413,25",6,"6471,28",5,"6374,06",5,"6816,04",3,"6555,68",5,"6899,44",6,"6739,04",4,"7075,76",1,"6575,26",6,"6553,59",6,"6837,69",2,"6044,54",10,"6498,77",4,"6596,5",5,"6190,54",6,"6358,7",4,"6331,26",2,"6765,54",3,"5522,62",7,"5869,67",8,"6064,16",6,"6141,92",6
,"12944,72",23,"12713,54",17,"13091,15",14,"14200,37",7,"13363,65",10,"12930,52",13,"12861,19",8,"13390,71",10,"12794,78",10,"13599,77",12,"13182,57",7,"13491,63",5,"12423,84",10,"12541,47",12,"13004,53",6,"12226,73",13,"12395,91",7,"12620,16",8,"11613,64",12,"11849,72",8,"11790,66",6,"12578,48",6,"10439,98",12,"10902,3",11,"11263,8",7,"11277,78",9
,"20072,98",29,"19382,2",25,"19651,75",22,"21222,39",12,"19926,58",15,"19749,19",15,"19025,11",12,"19771,95",13,"18731,57",13,"20034,4",13,"19408,79",8,"19637,52",7,"17916,07",14,"18543,99",15,"19092,75",7,"17706,15",16,"17815,7",8,"17531,94",13,"15751,23",22,"16847,8",9,"16854,36",14,"17410,61",8,"14968,87",20,"15251,09",12,"16088,26",11,"15800,83",16
,"27500,91",31,"26369,47",28,"26439,45",25,"28082,18",17,"26220,48",19,"26286,02",19,"25005,54",14,"25740,93",20,"24316,01",19,"25425,74",16,"24586,66",13,"25252,25",10,"22947,13",18,"23659,27",17,"24453,5",11,"22732,6",21,"23376,56",12,"22353,85",16,"20051,74",27,"21633,91",12,"21749,52",21,"22462,51",9,"18791,21",24,"19123,78",15,"20327,8",17,"20405,75",19
,"34927,01",33,"33441,04",30,"33372,25",27,"34666,32",23,"32593,26",22,"32710,3",19,"30675,21",17,"31638,37",23,"29733,03",20,"30443,38",21,"29768,92",17,"31033,36",12,"27929,08",23,"28454,32",18,"29876,78",12,"27834,17",22,"28619,83",14,"26741,17",17,"23782,79",33,"25783,76",15,"26837,3",23,"27233,62",10,"22400,8",27,"22562,16",16,"24949,16",20,"24701,32",23
,"41998,95",40,"40280,53",35,"40005,2",30,"41555,75",24,"38690,92",25,"38703,44",20,"36026,57",18,"37156,45",24,"34791,37",23,"35598,77",25,"34787,76",21,"36191,72",18,"32360,97",27,"33106,48",21,"34754,09",16,"32770,32",24,"33667,27",18,"31160,87",21,"27862,52",38,"30305,42",16,"31883,86",26,"31533,38",15,"25620,05",31,"26338,95",17,"28816,12",23,"28927,93",26
,"49119,18",46,"47013,9",40,"46416,56",34,"47993,53",26,"44555,64",29,"44006,29",27,"40886,29",25,"41928,36",29,"39507,96",27,"40160,12",29,"39708,1",23,"41222,53",19,"37114,27",28,"37487,89",28,"39831,55",21,"37112,21",25,"38460,24",22,"35659,64",23,"31505,04",41,"34353,43",16,"36662,36",29,"36263,65",17,"28593,57",35,"29911,77",20,"32346,17",30,"32626,91",30
,"56270,74",52,"53892,67",45,"52693,06",38,"54290,42",30,"50335,45",32,"49454,72",31,"45774,83",30,"46976,55",31,"44342,01",31,"44855,49",31,"44696,92",24,"46167,46",21,"41575,95",30,"42205,97",31,"44658,56",22,"41176,81",28,"43418,93",25,"39876,03",26,"35020,37",46,"38230,15",17,"41479,69",33,"40287,17",20,"31678,38",40,"33377,16",22,"35952,55",32,"36347,46",31
,"63424,28",57,"60686,98",49,"59057,87",40,"60399,44",35,"55628,51",35,"54274,8",35,"50492,16",33,"51910,32",33,"48816,68",34,"49154,65",32,"49189,05",29,"51080,27",22,"46111,84",33,"46783,37",33,"49282,3",25,"44868,09",32,"48055,73",27,"44095,39",28,"38528,4",47,"42267,75",21,"46302,84",35,"44734,86",20,"34632,13",42,"36395,42",26,"39886,34",34,"40157,57",35
,"70341,13",66,"67655,79",50,"65106,29",43,"66370,78",40,"60733,86",38,"59185,86",36,"55213,15",35,"56605,53",37,"53384,55",36,"53633,25",34,"53660,7",31,"55518,9",23,"50431,05",37,"51380,12",38,"53739,4",28,"48719,28",34,"52561,92",28,"48378,62",30,"41548,32",50,"46403,09",23,"51020,44",36,"49087,12",22,"37398,23",43,"39876,48",27,"43420,92",35,"44114,14",38
,"77652,97",70,"74300,6",54,"70882,54",48,"72079,62",47,"65882,26",43,"63915,58",38,"59754,71",37,"60760,37",42,"57609,8",39,"57924,95",36,"58240,54",33,"59993,03",27,"54724,05",41,"55792,47",40,"58087,72",32,"52795,55",35,"56857,18",30,"52602,17",31,"44689,62",53,"50283,46",29,"55623,11",38,"53216,76",28,"40502,09",44,"42986,29",29,"47097,42",35,"48018,15",44
,"84721,65",76,"81239,04",55,"76334,49",55,"77978,27",50,"70988,25",47,"68375,19",41,"64525,27",39,"64924,34",47,"61917,85",40,"62310,29",36,"62550,75",35,"64502,17",27,"59099,13",46,"60476,43",41,"62553,72",36,"56656,8",36,"61225,69",33,"56795,56",32,"47772,7",56,"54284,46",29,"60215,5",42,"57011,5",32,"43295,9",45,"46265,32",31,"50621,12",38,"51949,25",47
,"92020,58",80,"87741,56",60,"81887,24",60,"83825,56",54,"76199,13",52,"72930,74",43,"68722,52",43,"69417,51",49,"66066,16",43,"66756,04",36,"67070,45",36,"68649,27",32,"63237,75",49,65064,43,"67126,7",36,"60434,3",37,"65577,99",35,"60779,68",36,"50795,45",56,"57956,69",30,"64854,41",42,"60922,83",34,"45888,23",49,"49174,41",35,"54614,65",39,"55883,46",49
,"99402,47",84,"94080,3",67,"87639,93",65,"89547,9",59,"80710,56",58,"77589,08",48,"73079,3",47,"73449,57",52,"69954,04",49,"70397,44",38,"71318,82",41,"72687,99",38,"67248,24",51,"69235,01",46,"71534,25",37,"64339,61",37,"69845,6",38,"64941,63",38,"54230,26",57,"61197,87",36,"69338,19",45,"64982,34",38,"48380,47",54,"52324,4",36,"58133,54",43,"59909,13",51
,"106546,45",89,"100571,77",70,"93242,09",68,"95028,75",64,"85572,47",62,"82318,5",49,"77144,17",53,"77757,79",53,"74549,43",51,"75030,11",40,"75929,1",43,"76711,81",39,"71202,57",53,"73373,99",48,"75622,25",41,"68117,9",39,"74210,31",39,"68858,99",40,"56930,33",59,"64834,09",39,"73951,94",46,"69079,33",40,"50917,22",56,"55166,37",38,"61228,18",48,"63783,2",52
,"113851,07",92,"106882,11",74,"98510,85",72,100641,69,"90393,35",64,"86805,27",50,"81341,35",55,"82275,07",54,"78892,68",53,"79026,63",41,"80252,95",46,"80730,47",42,"74957,41",56,"77636,95",51,"79470,19",44,"71627,99",43,"78506,48",43,"72686,35",44,"60021,36",61,68366,43,"78341,13",50,"72766,44",40,"54042,81",58,"58461,5",41,"64900,28",50,"67338,91",55
,"120911,99",98,"113174,38",78,"103786,56",76,"106300,08",73,"95158,94",65,"90940,83",52,"85296,69",59,"86076,79",57,"82886,69",55,"82862,31",42,"84486,1",53,"84806,22",44,"78978,36",57,"81816,23",53,"83447,24",46,"75334,03",45,"82676,05",45,"76342,11",46,"63162,01",64,"72279,5",45,"82943,02",51,"76588,12",43,"56859,19",60,"61424,68",45,"68155,73",54,"71117,58",59
,"128089,87",103,"119267,25",85,"109301,21",76,"111972,42",74,"100032,84",66,"95248,66",52,"89509,31",60,"90225,28",62,"87075,63",59,"86761,13",43,"88800,37",56,"88825,18",46,"82806,28",62,"86124,5",55,"87874,02",47,"78865,81",48,"86804,16",50,"80277,67",47,"66292,21",66,"75796,83",50,"87486,66",53,"80298,98",46,"59624,51",61,"64796,08",47,"71651,7",56,"74766,61",63
,"135144,55",110,"125601,04",86,"114472,02",82,"117553,75",75,"104661,13",69,"99205,07",56,"93604,88",66,"94540,46",65,"91222,42",60,"90598,92",44,"92892,27",58,"92655,77",49,"86806,62",65,"90331,42",56,"91771,32",53,"82477,5",51,90866,54,"84124,12",48,"69402,45",67,"79149,36",56,"92001,34",54,"83803,37",49,"62341,11",66,"67730,55",49,"74999,78",57,"78416,22",64
,"142382,63",114,"131803,4",89,"119695,98",86,"122876,63",78,"109255,48",72,"103444,85",58,"97764,62",71,"98484,31",68,"95264,06",61,"94778,68",50,"96902,43",62,"97008,07",51,"90414,46",67,"94461,63",57,"95957,22",55,"86422,49",53,"95165,72",57,"87666,89",51,"72669,84",70,"82950,97",57,"96515,25",57,"87463,18",55,"65068,02",68,"70975,59",51,"78726,93",61,"82406,46",64
,"149492,24",121,"137877,95",91,"124741,58",90,"127890,01",85,"113802,24",75,"107378,33",62,"101911,39",72,"102478,57",71,"98938,05",63,"98567,75",52,"100946,14",65,"100754,92",53,"94450,97",68,"98642,83",60,"100002,04",56,"89945,87",56,"99186,35",62,"91339,58",53,"75736,3",71,"86505,5",60,"101051,72",59,"90848,77",58,"67932,37",71,"73885,89",53,"82174,6",62,"86448,95",64
,"156780,34",125,"143902,1",94,"129454,6",95,"133475,01",86,"118045,61",79,"111296,74",63,"106122,37",72,"106683,35",74,"102861,33",64,"102506,74",54,"105321,95",65,"104875,91",54,"97901,08",72,"102649,3",62,"104181,41",57,"93695,12",57,"103398,48",63,"94690,58",58,"78671,86",74,"89826,31",63,"105330,87",62,"94650,01",59,"70683,88",72,"77054,07",55,"85961,39",62,"90539,73",65
,"163746,4",133,"149801,74",98,"134331,82",99,"138615,65",90,"122415,56",79,"115227,27",67,"110302,32",73,"111149,58",74,"106813,18",68,"106334,39",55,"109399,95",65,"108622,45",58,"101711,31",74,"106619,07",67,"108251,54",59,"97456,93",59,"107620,14",65,"98318,72",61,"81606,78",75,"93241,88",64,"109690,65",63,"98062,32",61,"73330,79",78,"79965,61",61,"89231,41",63,"94341,49",66
,"170892,95",139,"155604,46",101,"139121,28",103,"143779,74",93,"126807,45",80,"119154,31",70,"114346,01",76,"115256,64",76,"110654,23",69,"109948,16",60,"113382,92",66,"112623,24",60,"105071,22",77,"110661,25",70,"112060,73",60,"101314,99",64,"111996,8",70,"102206,92",62,"84489,06",78,"96452,29",67,"114197,96",65,"101749,24",63,"75962,43",80,"83134,02",64,"92767,74",65,"98243,88",67
